ad_id,list_time,subject,body_short,price_usd,price_byn,company_ad,ad_link,rooms,district,area_total,area_living,area_kitchen,balcony,condition,floor,floors_total,building_type,building_year,area_code,location_lon,location_lat,address,contact_name
1074526069,2026-07-01T21:40:49Z,Аренда квартиры,"Отличная квартира с двумя отдельными спальными в центре города, свободная от курения, на первом этаже зал для занятий спортом, озон, рядом магазины, к",800.0,2324.96,False,https://re.kufar.by/vi/1074526069,2.0,170,57.0,53.0,18.0,3,5,2.0,25.0,10,2023.0,28,27.528737,53.869078,"Михаила Савицкого ул, 4, Минск",Tatsiana
1034654163,2026-07-01T21:37:52Z,"Квартира, 1 комн., 32 м², этаж 5 из 5","Прекрасная однокомнатная квартира,сделанная с любовью от хозяина без комиссии.расположена в престижном первомайском районе на перекрестке улиц Волгогр",512.46,1489.32,False,https://re.kufar.by/vi/1034654163,2.0,,32.0,,,1,10,5.0,5.0,,1964.0,24,27.605552,53.936471,"Якуба Коласа ул, 50к2, Минск",Екатерина
1072825201,2026-07-01T21:19:04Z,Сдается 1 комнатная квартира в ЖК Левада с видом на реку,"1-комнатная квартира-студия с дизайнерским ремонтом, которая находится на 3-м этаже по адресу: ул. Нововиленская, 57.
Дом 2024 года постройки. Общая п",600.0,1743.72,True,https://re.kufar.by/vi/1072825201,1.0,,38.0,35.6,,3,10,3.0,7.0,,2024.0,22,27.529689,53.93628,"Нововиленская ул, 57, Минск",ООО Этерия групп
1074652859,2026-07-01T20:59:53Z,"Сдается 2х комнатная квартира, Скорины 5","Сдается 2-комнатная новая квартира по улице Франциска Скорины, 5 с ремонтом в классическом стиле.
Отличное расположение - маяк Минска. В пешей доступн",750.0,2179.65,False,https://re.kufar.by/vi/1074652859,2.0,325,52.0,40.0,,3,10,23.0,24.0,2,,24,27.651142,53.928227,"Франциска Скорины ул, 5, Минск",Евгений
1075447308,2026-07-01T20:41:10Z,2-комнатная . 7 мин. метро . Кирпичный дом,"Сдаём 2-комнатную квартиру с раздельными комнатами — удобная планировка для двух человек, каждый со своим пространством. Идеально для двух молодых спе",533.34,1550.0,False,https://re.kufar.by/vi/1075447308,3.0,,42.1,25.0,6.5,3,1,5.0,5.0,3,1970.0,23,27.584702,53.925985,"Цнянская ул, 25, Минск",Станислав
1074987665,2026-07-01T20:39:11Z,сдаю 1-комн. квартиру в центре Минска,"Сдается 1-комн квартира в центре Минска. Развитая инфраструктура, рядом метро Я.Колоса, в квартире есть все необходимое для проживания. Без животных.",470.0,1365.91,False,https://re.kufar.by/vi/1074987665,2.0,,31.0,19.0,6.0,1,1,5.0,5.0,1,,23,27.591161,53.912325,"Гикало ул, 16, Минск",Елена
1075446833,2026-07-01T20:26:25Z,Сдается квартира . Евро двушка . Первое заселение . Укомплектована,"Первое заселение . В квартире совершенно ни кто не проживал . 
Прописан 1 человек .
Имеется отдельная комната с просторной гардеробной. 
Все окна в по",800.0,2324.96,False,https://re.kufar.by/vi/1075446833,,170,47.0,,,3,10,9.0,25.0,,2021.0,28,27.537541,53.872364,"Аэродромная ул, 18, Минск",Наталья
1075446311,2026-07-01T20:19:02Z,Сдача квартиры на длительный срок,Сдам уютную 1-комнатную квартиру на длительный срок семейной паре или девушке без детей и животных недалеко от метро и от центра Минска.,430.11,1250.0,False,https://re.kufar.by/vi/1075446311,2.0,205,35.0,18.0,7.5,3,1,8.0,9.0,4,1974.0,30,27.476177,53.916796,"Матусевича ул, 30, Минск",Наташа
1075446110,2026-07-01T20:10:19Z,Сдаётся 1ком.кв по ул.Малинина,"Сдаётся отличная квартира с восхитительным видом из окна.Фото старые.Квартира очень уютная ,просторная,светлая,чистая.",420.0,1220.6,False,https://re.kufar.by/vi/1075446110,2.0,,56.0,46.0,10.5,3,5,18.0,22.0,2,2016.0,26,27.628208,53.857252,"Малинина ул, 2, Минск",Анна
1073615016,2026-07-01T20:09:29Z,ПРЕМИУМ-КВАРТИРА с парковкой м. Академия наук,"Сдается светлая, просторная 3-х комнатная VIP квартира с парковочным местом. Укомплектованная мебелью, бытовой техникой европейских производителей и в",1300.0,3778.06,False,https://re.kufar.by/vi/1073615016,2.0,,125.2,69.0,30.0,3,10,3.0,9.0,10,2006.0,23,27.595212,53.924946,"Сурганова ул, 27, Минск",Сергей
